Statistic,Quarter,Sector,value
Gross Value Added at Constant Basic Prices,1995Q1,"Agriculture, Forestry and Fishing",674.0
Gross Value Added at Constant Basic Prices,1995Q1,Industry (excl. Construction),6069.0
Gross Value Added at Constant Basic Prices,1995Q1,Industry - of which Manufacturing,5305.0
Gross Value Added at Constant Basic Prices,1995Q1,Construction,1956.0
Gross Value Added at Constant Basic Prices,1995Q1,"Distribution, Transport, Hotels and Restaurants",5900.0
Gross Value Added at Constant Basic Prices,1995Q1,Information and Communication,1096.0
Gross Value Added at Constant Basic Prices,1995Q1,Financial and Insurance Activities,2190.0
Gross Value Added at Constant Basic Prices,1995Q1,Real Estate Activities,3069.0
Gross Value Added at Constant Basic Prices,1995Q1,"Professional, Admin and Support Services",1817.0
Gross Value Added at Constant Basic Prices,1995Q1,"Public Admin, Education and Health",5554.0
Gross Value Added at Constant Basic Prices,1995Q1,"Arts, Entertainment and Other Services",595.0
Gross Value Added at Constant Basic Prices,1995Q1,Statistical Discrepancy,
Gross Value Added at Constant Basic Prices,1995Q1,All Sectors,23975.0
Gross Value Added at Constant Basic Prices,1995Q2,"Agriculture, Forestry and Fishing",895.0
Gross Value Added at Constant Basic Prices,1995Q2,Industry (excl. Construction),6443.0
Gross Value Added at Constant Basic Prices,1995Q2,Industry - of which Manufacturing,5657.0
Gross Value Added at Constant Basic Prices,1995Q2,Construction,1909.0
Gross Value Added at Constant Basic Prices,1995Q2,"Distribution, Transport, Hotels and Restaurants",6091.0
Gross Value Added at Constant Basic Prices,1995Q2,Information and Communication,1117.0
Gross Value Added at Constant Basic Prices,1995Q2,Financial and Insurance Activities,2281.0
Gross Value Added at Constant Basic Prices,1995Q2,Real Estate Activities,3218.0
Gross Value Added at Constant Basic Prices,1995Q2,"Professional, Admin and Support Services",1862.0
Gross Value Added at Constant Basic Prices,1995Q2,"Public Admin, Education and Health",5623.0
Gross Value Added at Constant Basic Prices,1995Q2,"Arts, Entertainment and Other Services",627.0
Gross Value Added at Constant Basic Prices,1995Q2,Statistical Discrepancy,
Gross Value Added at Constant Basic Prices,1995Q2,All Sectors,24877.0
Gross Value Added at Constant Basic Prices,1995Q3,"Agriculture, Forestry and Fishing",537.0
Gross Value Added at Constant Basic Prices,1995Q3,Industry (excl. Construction),5855.0
Gross Value Added at Constant Basic Prices,1995Q3,Industry - of which Manufacturing,5135.0
Gross Value Added at Constant Basic Prices,1995Q3,Construction,1888.0
Gross Value Added at Constant Basic Prices,1995Q3,"Distribution, Transport, Hotels and Restaurants",6654.0
Gross Value Added at Constant Basic Prices,1995Q3,Information and Communication,1146.0
Gross Value Added at Constant Basic Prices,1995Q3,Financial and Insurance Activities,2518.0
Gross Value Added at Constant Basic Prices,1995Q3,Real Estate Activities,3358.0
Gross Value Added at Constant Basic Prices,1995Q3,"Professional, Admin and Support Services",1872.0
Gross Value Added at Constant Basic Prices,1995Q3,"Public Admin, Education and Health",5542.0
Gross Value Added at Constant Basic Prices,1995Q3,"Arts, Entertainment and Other Services",603.0
Gross Value Added at Constant Basic Prices,1995Q3,Statistical Discrepancy,
Gross Value Added at Constant Basic Prices,1995Q3,All Sectors,25379.0
Gross Value Added at Constant Basic Prices,1995Q4,"Agriculture, Forestry and Fishing",395.0
Gross Value Added at Constant Basic Prices,1995Q4,Industry (excl. Construction),6695.0
Gross Value Added at Constant Basic Prices,1995Q4,Industry - of which Manufacturing,5956.0
Gross Value Added at Constant Basic Prices,1995Q4,Construction,1836.0
Gross Value Added at Constant Basic Prices,1995Q4,"Distribution, Transport, Hotels and Restaurants",6341.0
Gross Value Added at Constant Basic Prices,1995Q4,Information and Communication,1117.0
Gross Value Added at Constant Basic Prices,1995Q4,Financial and Insurance Activities,2588.0
Gross Value Added at Constant Basic Prices,1995Q4,Real Estate Activities,3413.0
Gross Value Added at Constant Basic Prices,1995Q4,"Professional, Admin and Support Services",1967.0
Gross Value Added at Constant Basic Prices,1995Q4,"Public Admin, Education and Health",5535.0
Gross Value Added at Constant Basic Prices,1995Q4,"Arts, Entertainment and Other Services",599.0
Gross Value Added at Constant Basic Prices,1995Q4,Statistical Discrepancy,
Gross Value Added at Constant Basic Prices,1995Q4,All Sectors,25169.0
Gross Value Added at Constant Basic Prices,1996Q1,"Agriculture, Forestry and Fishing",677.0
Gross Value Added at Constant Basic Prices,1996Q1,Industry (excl. Construction),6785.0
Gross Value Added at Constant Basic Prices,1996Q1,Industry - of which Manufacturing,5976.0
Gross Value Added at Constant Basic Prices,1996Q1,Construction,2086.0
